description	pathway	GF2_hFMT2A_S44	GF2_mjMb2B_input_S53	GF2_myFMT1_S56	GF3_AMS001_inoc1_S36	HF10_hFMT1_S68	HF9_hFMT2_S42	Healthy_cecalSeekatz26_S2	c21_1835_3_S30	c21_1836_2_S31	c21_1836_3_S110	c21_1837_1_S114	c21_1837_2_S143	c21_1837_3_S138	c21_1839_1_S139	c21_1839_2_S115	c21_1841_1_S137	c21_1901_3_S29	c21_1907_1_S69	cecal_1191_2_S134	cecal_1275_1_S135	cecal_1275_2_S136	cecal_19_1210_1_S77	cecal_19_1210_3_S80	cecal_19_1212_3_S84	cecal_d21_1199_2_S99	cecal_d21_1199_3_S100	cecal_d21_1200_1_S90	cecal_d21_1200_3_S94	cecal_d21_1200_4_S133	cecal_d21_1203_1_S89	cecal_d21_1203_4_S103	cecal_d21_1205_2_S88	cecal_d21_1205_4_S93	cecal_d21_1207_2_S97	cecal_d21_1207_3_S95	cecal_d21_1207_4_S102	cecal_d21_1209_3_S96	cecal_d25_2935_S59	cecal_d25_3739_S45	cecal_d25_5925_S43	cecal_d25_5942_S46	cecal_d28_429_S66	cecal_d28_448_S65	cecal_d28_5505_S67	cecal_d28_5520_S64	cecal_d42_1216_1_S92	cecal_d42_1216_2_S87	cecal_d42_1217_2_S91	cecal_d42_1223_5_S101	cecal_d42_1225_1_S98	cecal_d42_1225_2_S132	cecal_d46_2933_S48	cecal_d46_2949_S47	cecal_d46_2956_S58	cecal_d46_2966_S38	cecal_d46_3755_S49	cecal_d46_3765_S39	cecal_d46_3827_S57	cecal_d46_3_C18_C23836_S51	cecal_d46_4837_S52	cecal_d46_4914_S54	cecal_d46_5957_S50	cecal_d46_5964_S55	d0_1840_2_S112	d11_1203_1_S72	d11_1205_2_S75	d11_1840_1_S21	d11_1840_2_S24	d11_1840_3_S27	d11_1901Seekatz24_S1	d18_1835_1_S25	d18_1835_3_S22	d18_1836_2_S111	d18_1836_3_S105	d18_1836_4_S116	d18_1837_1_S142	d18_1837_2_S113	d18_1839_1_S108	d18_1839_2_S34	d18_1839_3_S109	d18_1840Seekatz18_S3	d18_1901_3_S26	d18_1907_1_S71	d19_1199_2_S79	d19_1199_3_S81	d19_1200_1_S83	d19_1200_2_S78	d19_1203Seekatz34_S6	d19_1203_1_S35	d19_1203_3_S32	d19_1205_2_S82	d19_1207_1_S85	d19_1207_4_S33	d21_2935_S37	d21_3739_S36	d21_429_S63	d21_448_S62	d21_5220_S61	d21_5505_S60	d21_5925_S40	d21_5942_S41	d4_1203_2_S131	d4_1205_2_S73	d4_1840_1_S140	d4_1840_2_S141	dGF2_hFMT1B_S117	dn7_1203_1_S74	dn7_1205_1_S76	dn7_1835_1_S23	dn7_1840_2_S106	dn7_1840_3_S107	healthy_cecal_1913_1_S28	healthy_cecal_1913_2_S70	humanDonor_exp2_S86	mouseFMT_exp1_S130
COBALSYN-PWY	adenosylcobalamin salvage from cobinamide I	318.529	0	0	310.407	289.796	282.266	9.66789	95.8691	73.4121	88.9125	30.1663	45.6301	45.7898	166.365	99.0677	109.681	6.61496	156.532	0	0	0	25.7723	59.8763	55.3501	100.796	106.967	110.079	92.5694	83.2643	26.2895	21.5195	0.955617	0.517126	17.4597	12.304	23.1041	0	138.244	89.8859	157.759	166.847	164.359	64.9426	149.134	59.8006	88.8891	118.549	130.084	130.686	82.0552	109.272	1.29561	0	55.8533	202.362	1.5487899999999999	78.8707	64.4107	0	165.328	175.88	139.76	159.467	0	105.027	69.8901	70.1991	68.76	75.7029	0	98.1212	99.1885	129.536	68.8716	96.1178	48.254	61.3845	168.21	168.547	151.868	0	27.7257	139.907	95.4675	102.684	111.683	109.224	38.4893	61.7181	56.3692	5.99233	21.6342	13.0903	119.479	84.9839	85.1748	52.6252	52.4935	187.997	200.814	188.177	69.5919	0	49.2468	63.376	295.729	0.867166	3.30084	2.68357	0	42.0976	7.56633	8.70732	57.1508	0
COLANSYN-PWY	colanic acid building blocks biosynthesis	154.596	69.8468	120.938	145.937	162.724	174.09	56.619	147.122	147.972	163.186	90.1394	83.5348	84.3831	167.188	72.5442	205.563	96.669	122.058	65.0084	5.70484	56.9303	244.568	271.234	194.185	96.4726	134.842	63.6051	73.7636	118.376	145.266	93.2243	62.7643	61.0904	140.721	92.8229	122.557	44.0295	234.297	137.074	153.888	150.223	163.743	178.572	155.658	150.841	234.374	256.137	279.367	104.474	51.0593	152.377	86.1602	71.7275	139.197	208.468	31.7303	253.668	229.145	107.569	193.172	239.125	221.624	191.644	1.17917	217.244	165.457	177.603	172.519	196.615	0	190.542	176.97	220.104	177.947	205.012	220.571	242.822	273.456	280.362	220.669	58.3464	106.731	232.478	112.559	162.565	110.619	95.1195	144.903	199.527	179.922	53.0159	86.3228	87.2126	204.002	147.412	161.876	186.209	168.151	202.498	162.786	206.236	180.69	17.307	165.556	178.893	146.353	75.3904	101.305	76.7754	86.1528	100.662	55.6479	117.391	125.48	61.5676
COMPLETE-ARO-PWY	aromatic amino acid biosynthesis	646.59	206.276	196.423	644.63	662.211	631.406	165.984	337.788	357.847	341.071	473.609	434.496	436.999	428.323	451.503	305.101	270.838	279.954	392.514	262.433	286.314	374.036	355.388	403.947	341.046	374.045	397.874	323.525	370.548	443.958	496.929	259.349	247.524	417.797	402.549	440.355	221.866	409.06	368.63	336.893	337.403	361.487	456.061	358.864	426.778	261.9	289.527	258.447	406.419	399.097	441.29	250.669	264.997	137.51	370.802	358.789	416.201	363.003	248.108	348.757	359.489	309.91	336.68	0.670405	262.408	334.572	190.009	192.37	216.015	0	349.374	337.505	361.078	306.097	355.284	406.525	422.512	448.758	451.87	452.601	253.426	295.648	325.773	410.435	373.374	395.554	408.989	394.378	385.558	338.584	181.014	369.435	366.161	403.833	369.997	426.767	424.178	436.489	377.912	372.201	362.907	231.439	227.651	402.042	351.869	624.071	123.635	204.581	249.696	192.328	232.468	228.74	208.409	386.29	210.474
CRNFORCAT-PWY	creatinine degradation I	0	9.27653	0	2.18572	3.77336	3.69868	1.22738	0	0	0	0	0	0	0	0	0	2.94339	0	2.38528	1.73956	3.11278	2.22239	2.92241	0	0.81576	0.585167	0	0	0	0	0	0	3.10775	0	0	0	0	1.76986	0	0	0	0	0	0	0	0	0	0	4.58761	0.588996	3.06535	4.32728	1.74448	0	0.582917	0	0	0	7.3832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.51731	2.05452	0	2.90144	2.5812	0	0	0	0	0	0	0	0	0.597965	0	0	0	0	0	0	0	0	0	0	0	0	0	0.869392	3.95121	4.22149	6.09479	2.46593	3.25097	0	1.44657
DAPLYSINESYN-PWY	L-lysine biosynthesis I	199.861	47.5459	60.2082	256.608	330.673	258.961	37.3705	5.42233	18.563	7.84395	0.873304	0	0	15.6466	5.79625	66.4058	62.396	31.0457	13.2443	7.08654	19.1978	50.7811	66.8109	69.1912	0.351602	28.9484	2.98692	3.9429	0	116.97	93.6763	5.47257	8.92313	72.598	53.8522	87.1585	8.31264	30.4383	1.94444	3.28596	0	1.45042	65.9756	4.49305	4.9745	266.925	301.86	333.745	13.1677	0	2.39712	28.4226	1.76363	223.192	12.7929	1.93444	4.89269	0	23.9418	8.80519	14.2333	2.53258	2.63328	0	296.396	237.947	274.727	258.575	279.284	0	17.9657	7.18076	20.415	7.34843	21.3961	0	1.05902	17.5799	16.3022	22.1663	28.6408	65.8386	47.2771	7.25344	61.8045	4.57377	0	165.078	233.406	214.813	12.0517	110.943	68.5984	5.06546	2.40142	78.1914	79.9637	110.522	16.51	3.33757	4.91766	202.687	20.0477	212.981	226.766	184.228	42.5492	80.0846	85.9157	40.0668	92.599	23.7344	44.9174	106.623	56.0583
DARABCATK12-PWY	D-arabinose degradation I	2.20311	0	0	1.60706	2.00686	1.88289	0	0.310236	1.02701	0.261731	0	0	0	0	0	1.72722	0	2.05131	0	0	0	5.03509	8.13554	5.77227	0	2.83069	0	0	0	13.3309	11.6126	0.576522	0	8.0122	6.45102	12.6984	0	0.245881	0	0	0	0	0	0	0	45.9772	60.4452	65.1083	2.36641	0	0	0.187979	0	24.421	0.691423	0	0.153692	0	0	0.239671	1.26054	0	0	0	49.8674	35.8778	35.7018	37.6243	40.3291	0	0.148444	0.90993	1.43481	0.527596	0.727993	0	0.080148	0	0	0	0	0	4.40921	0	4.68755	0	0	21.725	32.4251	28.7355	0.349131	13.7595	7.05867	0	0	0	0	0	0	0	0	39.2565	0	26.4852	33.5839	0.947982	0.526154	0	0	0	3.67589	0	0	10.5743	0
DENITRIFICATION-PWY	nitrate reduction I (denitrification)	0	0	0	0.23977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DENOVOPURINE2-PWY	purine nucleotides de novo biosynthesis II	0	0	0	13.167	9.72898	17.4303	0	2.97129	10.1082	0	0	0	0	0	0	26.0782	0	23.9838	0	0	0	42.1451	61.8851	44.8995	0	24.166	0	0	0	58.5015	56.3136	0	0	41.2336	32.1489	53.0865	0	0	0	0	0	0	0	4.52921	0	131.921	164.154	186.597	15.2133	0	0	0	0	103.861	12.5441	0	0	0	0	9.62591	10.4884	0	0	0	166.382	122.193	131.636	124.772	136.52	0	5.88204	8.19861	12.4098	5.14515	9.78166	0	0	0	0	0	0	0	33.0318	3.49999	47.387	0	0	90.147	138.92	120.295	0	63.0108	30.7581	0	0	0	0	0	0	0	0	140.676	0	118.388	151.138	0	0	0	0	0	30.9113	0	0	51.9161	0
DHGLUCONATE-PYR-CAT-PWY	glucose degradation (oxidative)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.374374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DTDPRHAMSYN-PWY	dTDP-&beta;-L-rhamnose biosynthesis	592.103	463.767	592.431	641.755	735.53	681.845	431.797	731.562	657.305	793.822	566.972	563.813	604.32	594.248	657.187	694.382	544.56	1067.46	593.854	497.936	629.7	1040.23	1101.89	966.409	756.064	657.318	738.98	760.422	699.252	547.488	628.611	603.767	531.61	508.329	515.923	551.432	685.003	632.501	591.145	767.403	726.843	831.461	581.338	832.941	598.647	292.652	277.818	272.946	794.75	888.625	880.66	658.805	621.498	1110.15	849.783	551.134	572.579	852.28	597.952	700.499	686.497	663.559	723.618	2478.79	283.739	379.685	619.339	631.447	562.057	2279.43	612.043	649.598	639.243	795.677	688.139	550.098	479.217	609.755	594.843	598.03	503.619	568.322	671.698	837.321	730.861	810.973	793.036	444.791	378.307	365.981	857.53	452.275	596.243	643.096	645.782	623.153	577.406	562.754	791.324	715.396	709.821	409.597	781.193	512.927	434.644	558.365	339.376	624.482	587.916	440.156	445.023	447.412	492.573	440.525	618.99
ECASYN-PWY	enterobacterial common antigen biosynthesis	0	0	0	0.371732	0	0	0	1.28502	1.6101	1.23216	0	0	0	0	0	5.66566	0.249212	3.15995	0	0	0	11.1944	12.5989	10.0557	0	6.37879	0.424194	0	0	15.166	11.7699	0	0	8.25522	5.83825	14.0101	0	0	0	0	0	0.302237	0	0	0	50.2497	64.2882	76.2939	2.94166	0	0	0	0	33.813	2.18176	0	0.568308	0	0	2.56275	1.54823	0	0	0	64.5875	40.8774	48.6753	44.8085	52.3312	0	1.92325	2.124	3.22107	1.66994	4.96716	0	0	0	0	0	0	0	8.35479	0	12.7332	0.56968	0	25.2624	45.244	36.7797	2.73559	14.8947	7.57476	0	0	0	0	0	0	0	0	42.475	0	30.9569	42.0832	0	0	0.512159	0	0	7.76343	0	0	13.664	0
FAO-PWY	fatty acid beta-oxidation	0.728704	0	0	0.871838	0	0	0	5.64062	10.401	3.53493	0	0	0	0	0	23.8582	0.455184	15.5904	0.522021	0	0	25.9742	37.9789	36.0776	0	12.3845	0	0	0	46.3038	45.98	1.52824	0	28.34	23.0333	40.0619	0	0	0	0	0	2.85564	0	0.862912	0	152.218	185.35	227.87	5.27182	0	0	0	0	92.5822	5.96532	0	2.97304	0	0	8.77626	6.78117	0	0	0	201.545	128.843	142.688	138.493	146.83	0	10.2061	10.0379	18.1751	8.39004	13.2298	0	0	0	0	0	0	0.724727	34.0723	0.849629	25.1275	0	0	84.1992	154.629	127.28	2.18137	48.4599	25.3658	0	0	0	0	0	2.19383	0	0	133.257	0	96.0521	134.889	0	0	0	0	0	23.6032	0.286426	0	39.6031	0
FASYN-ELONG-PWY	fatty acid elongation -- saturated	29.7617	4.97096	8.91647	67.9404	50.4209	79.2857	12.471	185.464	190.48	180.913	315.098	335.012	340.548	40.6939	92.571	256.81	19.5652	348.308	1.91524	0	2.84716	111.642	155.219	399.528	294.095	293.1	388.496	323.771	325.875	194.047	165.358	20.0394	17.9876	143.968	115.885	189.57	3.21945	104.42	231.094	320.012	289.179	318.202	147.47	353.029	134.154	356.979	409.475	451.647	350.732	414.215	404.898	1.02571	0	293.091	46.5892	0	249.295	5.18989	60.745	324.305	285.254	218.86	295.6	0	350.114	339.53	380.863	363.515	390.049	0.534268	178.523	188.331	187.083	152.915	163.215	283.252	285.246	12.788	9.92536	7.22956	12.0707	20.5804	211.539	299.033	305.017	406.869	418.421	274.292	338.636	309.747	33.1555	205.919	137.558	116.595	101.046	58.0191	60.8954	89.4687	255.448	237.515	221.453	353.01	0	314.093	354.608	24.1914	4.43994	14.7825	16.2102	6.9592	130.372	0	5.87885	181.829	12.3206
FASYN-INITIAL-PWY	fatty acid biosynthesis initiation (E. coli)	26.775	0	0	11.2899	16.0987	10.9118	0	0	0	0	0	0	0	3.6175	0	8.08455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.42079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.460665	0	0	0	0	0	7.03187	4.89451	5.42591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.2019	10.9216	23.1357	0	0	0	0	0	0	0	21.6824	0	0	0	0	0	0	0	3.05599	0
FERMENTATION-PWY	mixed acid fermentation	136.152	129.764	92.5712	55.2218	102.877	98.0892	66.1264	85.8317	102.887	75.8225	5.5701599999999996	5.98796	7.08048	8.76582	40.2508	72.2712	115.971	19.6782	104.018	14.6007	114.531	98.5407	88.9097	110.935	21.9934	55.6931	20.4135	22.8667	47.1996	92.0233	95.6503	100.829	101.813	86.2128	44.5836	125.859	5.50581	41.0325	9.0651	20.4955	18.0106	33.6754	23.1404	33.4146	6.20183	251.694	306.125	335.563	47.8735	2.0543	12.5171	76.8719	28.0698	155.526	40.6502	0	36.4978	5.74836	104.838	68.0202	42.9321	23.7247	12.6315	0	256.552	188.237	208.672	206.834	233.151	0	136.108	111.561	76.4926	72.8766	77.4949	23.6355	14.2569	35.056	31.7167	2.6228	92.8191	97.4967	99.2175	20.6871	76.8653	27.7941	9.26159	131.992	214.228	186.627	74.9519	91.1431	43.9016	17.9649	37.5336	42.4842	54.5113	60.41	52.0125	26.1174	18.3228	217.073	0	145.314	198.295	111.089	48.5166	89.9162	117.59	105.462	112.907	33.3525	114.983	93.5658	83.3263
FOLSYN-PWY	tetrahydrofolate biosynthesis and salvage	86.5287	0	47.5178	66.3385	79.3611	66.9905	1.79155	19.4444	16.3825	11.317	0	0	0	0	0	16.2069	7.22945	19.0477	1.98716	0	0	19.9857	24.1477	24.6008	0.789778	8.07013	0.568383	0	0	31.0022	27.3477	0	0.905288	21.4739	19.7804	24.3	7.09157	6.1	11.4648	5.60607	2.90963	4.65575	0	6.00362	0	90.3507	114.431	129.393	7.91438	0	0	0	0	72.7607	6.57276	6.28719	7.55236	21.1057	0.976707	4.35006	4.67842	4.65174	8.76429	0	104.33	83.6424	84.8704	79.0022	89.3974	0	21.8145	24.0857	17.5202	16.8519	18.8765	0	0	0	1.85	0	2.41771	6.35544	37.6783	1.43846	18.1945	0	3.40563	48.7548	88.0954	72.1212	1.42913	27.1178	24.4446	6.81528	3.30311	0	0	0	6.86325	5.4953	5.12163	75.7728	0	56.1354	78.8674	87.2155	15.5367	6.62108	0	3.07858	25.8729	3.23533	8.05841	65.7136	10.0289
FUC-RHAMCAT-PWY	fucose and rhamnose degradation	13.0204	22.7407	4.94106	37.5	39.3553	44.3804	10.9169	105.148	122.497	135.915	42.9335	59.2889	49.6732	0	3.59113	93.6982	18.5786	54.5326	50.6148	24.0364	41.6168	79.6002	100.162	101.665	89.8527	113.874	67.3841	41.2491	81.59	138.603	96.7283	18.4832	22.6837	92.7297	83.971	117.304	0	133.779	152.293	96.0603	83.7642	103.812	6.08232	114.418	4.3868	149.367	188.569	215.785	92.3085	27.8982	40.0079	10.9103	0	109.232	89.6386	0	168.793	41.8534	20.7567	27.1625	26.6516	22.0867	45.4275	0	205.478	153.35	136.472	135.289	146.059	0	96.4683	101.553	146.799	122.581	108.576	123.005	117.275	40.1053	33.2187	0	14.166	29.7789	105.013	80.4935	114.846	59.5457	42.5967	151.772	212.641	196.926	17.8306	103.774	81.0166	154.662	142.993	3.04767	3.55608	2.99783	112.832	76.7804	84.7159	166.453	0	170.322	201.975	8.25238	4.71353	14.9119	15.5322	16.6268	60.256	0	14.735	99.3333	8.83095
FUCCAT-PWY	fucose degradation	43.3368	20.076	19.5225	34.7146	43.7076	29.2576	15.8855	63.3536	82.1837	86.9673	20.9731	29.3275	24.2815	120.207	32.7571	58.6186	39.5588	27.9118	36.632	16.2053	32.692	80.1643	76.7162	69.8487	52.5059	76.4494	36.2228	21.174	45.4782	128.633	70.0275	26.6334	22.7884	116.522	89.7656	101.619	2.9557	112.897	99.774	97.0471	100.791	114.688	85.6553	116.059	80.0424	216.618	275.051	305.929	52.7933	14.8128	20.9191	14.284	0	136.97	72.6069	22.2825	111.11	110.482	19.1904	52.9696	64.4672	49.6203	43.5632	0.531821	231.271	195.784	178.611	175.309	195.741	0	57.5815	59.6155	98.5566	76.935	64.7837	76.2205	69.0538	100.987	106.604	98.0662	27.5593	22.0678	72.0828	58.5798	89.717	31.6653	21.4052	124.384	165.476	166.301	13.5024	74.3846	62.5188	165.562	117.998	69.1903	94.8323	84.2514	121.871	132.428	129.23	181.875	9.56035	124.871	160.006	39.041	11.6	15.7908	31.8103	29.4713	42.0316	5.28593	36.0206	92.6242	23.1141
GALACT-GLUCUROCAT-PWY	hexuronide and hexuronate degradation	39.8744	68.6795	38.1692	4.00342	26.8521	37.8317	39.9676	65.3417	47.0893	41.3813	13.6982	5.10188	8.58741	17.6179	14.8708	24.7804	85.9585	9.72291	43.135	2.87648	35.5072	22.406	38.6846	22.7341	8.46233	38.6356	17.3523	22.6582	46.0244	99.5353	53.7691	64.1264	49.3144	90.0642	48.1696	83.6983	9.88515	81.7433	73.2257	30.6589	37.7555	39.0613	63.009	37.2074	60.8513	83.9465	104.656	118.496	51.8861	11.9837	26.9921	33.4195	4.22145	50.0176	44.8683	4.21987	56.0407	43.5556	51.0949	14.194	10.7039	28.7594	9.73726	0	92.4504	68.051	65.2087	65.0526	67.5143	0	48.197	54.568600000000004	65.1412	38.6279	37.7665	21.4985	17.8293	115.361	123.33	47.7652	70.2786	91.8734	19.3771	15.5171	59.7744	0	0.771896	77.1687	80.262200000000007	135.84	17.3507	43.9696	59.4801	91.2795	91.7448	57.2296	59.0984	66.6953	33.6115	37.7119	39.0004	107.434	1.43353	54.2667	73.2706	24.1734	29.8412	57.3539	67.9257	37.4704	81.371	32.549	61.6751	49.1884	43.0759
GALACTARDEG-PWY	D-glucarate and D-galactarate degradation	1.06804	10.6881	0.965518	1.93108	0	1.11701	0	58.0211	29.2337	19.7054	2.2445	0	9.07388	23.9506	10.5178	52.0246	0.55505	33.246	1.5167	0	0.931713	83.6949	84.4591	100.238	25.4735	47.0777	27.3463	27.1525	23.3275	119.012	74.8177	0.457694	0.417555	89.392	44.4915	84.6107	0.948889	64.6902	52.3171	31.5341	30.2312	42.0876	54.0626	40.7606	25.4222	244.116	305.421	376.189	52.2723	23.7302	24.688	10.7906	2.73	151.78	57.2155	0	59.4206	71.4763	13.5698	53.0898	52.9135	34.5544	33.8718	0	319.064	200.513	245.606	229.552	245.531	0	60.0378	62.1051	44.6561	24.008	38.218	26.7619	2.09334	28.9393	24.7591	22.3189	0.781609	2.52572	73.4351	35.3466	58.7169	31.0333	21.5958	152.266	232.44	236.317	5.536	82.8275	64.2242	50.4138	42.7437	21.7663	17.4597	24.0756	52.5681	30.4011	35.2439	202.095	5.26972	146.599	202.269	1.74598	0.186074	1.34267	0	0	28.7	2.08506	0	53.0841	0
GALACTITOLCAT-PWY	galactitol degradation	50.2835	40.0497	9.64425	47.4713	83.3803	71.5456	5.02208	15.0811	5.89519	3.23182	0	0.836215	0.78517	0	0	15.8442	12.083	11.5566	6.1114	0	14.0149	13.936	22.0336	21.1367	0	9.4191	0.722697	0.612677	0	36.8092	29.848	4.24374	3.03505	23.0801	18.1221	29.817	0.812972	1.49435	0	1.08399	0	0.743316	0	2.93156	0	149.988	153.771	161.044	6.8782	0.133227	1.05394	3.3448	0	92.868	4.77875	0	3.74381	0	6.57404	7.32397	2.79448	0	0	0	143.261	94.6016	98.7129	91.4975	99.219	0	3.1968	16.1625	14.2604	7.76118	3.38719	1.15302	2.8071	1.0221	0.780718	0	5.35288	8.54618	20.8921	0.521511	16.5594	0	0.504166	48.3177	79.505	77.6091	2.30685	33.8438	17.2353	0	0	0	0	0.392738	3.77996	0	0	91.5719	1.15418	67.2774	85.816	61.1962	4.94849	8.29551	8.51496	9.7052	23.5126	1.19771	10.8967	30.2626	3.6607
GALACTUROCAT-PWY	D-galacturonate degradation I	53.757	91.4414	60.496	34.7232	56.863	70.8069	91.3315	64.7399	42.9774	35.748	24.5813	7.5656	27.4708	18.7729	14.1804	80.524	123.915	40.8074	78.4387	9.23837	80.4623	51.3791	56.0684	28.5051	44.2539	53.943	41.7139	37.4455	81.5209	110.474	43.2616	87.3725	86.8835	88.8048	46.4638	82.55	21.559	101.605	58.1603	43.103	52.6041	49.8917	63.5331	40.1593	42.7932	76.7965	92.7167	110.329	56.5551	22.9541	35.4303	67.8623	17.9934	47.8537	58.2181	4.59302	76.0075	56.4845	74.6917	108.64	114.806	92.1249	90.0449	0	93.5403	63.7799	65.195	66.7461	66.7863	0	79.1678	77.4174	63.3137	35.2345	55.3651	25.8029	37.8337	98.973	110.585	34.6789	100.279	136.086	91.8987	61.6958	73.3744	24.5586	12.3044	63.0786	87.9799	118.611	21.6972	38.519	55.0404	80.1285	78.6784	42.2975	45.1085	53.6345	51.1047	51.2001	53.0605	201.876	5.65453	47.9526	66.1269	37.9468	70.8892	166.818	136.962	75.2084	103.189	49.1387	96.862	39.284	161.516
GLCMANNANAUT-PWY	N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation	198.926	116.187	115.973	187.378	164.807	192.415	85.5665	162.759	152.861	150.419	80.9925	97.557	81.1728	139.866	135.749	199.578	124.936	125.992	152.962	77.2856	103.573	95.4903	121.403	113.643	56.5572	92.883	32.8169	35.1594	54.3995	98.0274	91.1797	138.515	123.68	96.6552	66.2436	112.989	58.7284	307.801	178.431	147.406	153.386	177.502	130.307	169.655	93.0238	193.146	233.077	269.165	47.1559	13.8726	24.4861	88.6463	116.053	322.992	181.839	158.612	206.513	229.948	133.323	281.021	278.139	134.203	173.785	0	244.853	161.847	400.046	393.101	380.888	0.653421	291.622	216.652	221.646	180.6	251.164	406.397	297.659	181.298	203.045	160.791	130.664	155.012	244.548	54.2677	92.6131	41.7717	44.8332	180.631	248.85	258.176	71.8951	145.461	107.097	189.972	161.879	106.32	140.992	123.44	184.279	156.035	152.316	297.12	103.549	355.984	356.537	184.65	85.3174	121.451	135.667	101.114	133.358	94.2438	119.669	157.857	95.608
GLUCARDEG-PWY	D-glucarate and D-galactarate degradation	1.05764	9.75228	0.966093	1.83865	0	1.09002	0	40.4194	12.5052	12.0291	0	0	0	10.801	9.80108	25.0921	0.551936	23.2973	1.48744	0	0.913169	41.7943	57.0656	57.6167	20.5568	41.9861	24.1391	16.9962	20.5478	127.1	65.1778	0.455811	0.40823	98.6062	44.8709	80.1409	0.90542	50.5217	40.7941	15.6704	15.1755	31.4439	5.09093	30.0087	1.62297	142.959	192.037	225.78	40.4597	22.0257	17.7973	3.74765	4.41293	89.2602	41.3826	0	45.5882	52.111	9.38023	29.3041	27.6603	24.5397	18.8283	0	188.148	123.021	138.56	131.689	134.962	0	30.515	45.0411	33.2375	19.0828	23.9261	0	0.344702	0.639775	0.986454	0	0.776844	2.40868	50.7299	33.7249	53.2908	28.656	8.78228	108.534	137.437	203.882	4.52527	65.7594	64.4581	32.7045	26.685	2.62904	2.91024	1.76122	36.0107	21.4832	20.6676	129.183	6.07314	82.271	121.221	1.72526	0.185185	1.3353	0	0	25.7411	2.03925	0	44.7026	0
GLUCARGALACTSUPER-PWY	D-glucarate and D-galactarate degradation	1.06804	10.6881	0.965518	1.93108	0	1.11701	0	58.0211	29.2337	19.7054	2.2445	0	9.07388	23.9506	10.5178	52.0246	0.55505	33.246	1.5167	0	0.931713	83.6949	84.4591	100.238	25.4735	47.0777	27.3463	27.1525	23.3275	119.012	74.8177	0.457694	0.417555	89.392	44.4915	84.6107	0.948889	64.6902	52.3171	31.5341	30.2312	42.0876	54.0626	40.7606	25.4222	244.116	305.421	376.189	52.2723	23.7302	24.688	10.7906	2.73	151.78	57.2155	0	59.4206	71.4763	13.5698	53.0898	52.9135	34.5544	33.8718	0	319.064	200.513	245.606	229.552	245.531	0	60.0378	62.1051	44.6561	24.008	38.218	26.7619	2.09334	28.9393	24.7591	22.3189	0.781609	2.52572	73.4351	35.3466	58.7169	31.0333	21.5958	152.266	232.44	236.317	5.536	82.8275	64.2242	50.4138	42.7437	21.7663	17.4597	24.0756	52.5681	30.4011	35.2439	202.095	5.26972	146.599	202.269	1.74598	0.186074	1.34267	0	0	28.7	2.08506	0	53.0841	0
GLUCONEO-PWY	gluconeogenesis I	277.637	322.034	437.717	250.025	269.785	282.381	323.465	187.355	166.772	151.774	34.177	65.8333	36.4309	108.602	85.7674	202.416	396.522	221.466	374.964	269.695	439.476	247.128	265.957	239.526	257.967	259.714	224.737	238.885	285.896	338.344	259.635	449.176	408.934	302.711	144.302	330.373	173.05	221.983	132.812	238.142	214	236.518	178.509	242.735	137.484	307.281	341.608	362.445	199.825	87.017	148.574	372.638	180.271	209.569	245.601	161.227	147.561	168.566	347.36	229.786	240.985	173.355	238.793	1.28589	288.889	247.84	256.137	246.675	268.332	0	132.857	199.984	241.089	225.06	160.381	97.9	144.554	270.122	266.299	98.0959	341.583	406.674	211.546	293.069	282.118	185.962	169.426	271.803	297.53	296.182	481.929	195.001	273.252	167.298	124.835	201.062	222.582	217.441	247.937	271.066	241.159	369.665	115.654	281.335	293.935	241.607	231.394	452.557	411.575	325.896	316.185	218.195	345.927	312.585	451.729
